id,z_ice_sfc,z_ice_bott,z_ice_bed,x,distance,angle
"168","59","-290","-643","48",168000.000000000000000,77.794285367166637
"169","59","-289","-645","47",169000.000000000000000,77.794285367166637
"170","59","-289","-645","46",170000.000000000000000,77.794285367166637
"171","59","-286","-638","45",171000.000000000000000,77.794285367166637
"172","60","-301","-640","44",172000.000000000000000,77.794285367166637
"173","62","-312","-642","43",173000.000000000000000,77.794285367166637
"174","63","-324","-644","42",174000.000000000000000,77.794285367166637
"175","65","-342","-636","41",175000.000000000000000,77.794285367166637
"176","66","-352","-635","40",176000.000000000000000,77.794285367166637
"177","67","-357","-642","39",177000.000000000000000,77.794285367166637
"178","68","-362","-651","38",178000.000000000000000,77.794285367166637
"179","68","-366","-660","37",179000.000000000000000,77.794285367166637
"180","70","-386","-654","36",180000.000000000000000,77.794285367166637
"181","71","-387","-660","35",181000.000000000000000,77.794285367166637
"182","72","-396","-664","34",182000.000000000000000,77.794285367166637
"183","73","-402","-662","33",183000.000000000000000,77.794285367166637
"184","74","-407","-657","32",184000.000000000000000,77.794285367166637
"185","77","-421","-638","31",185000.000000000000000,77.794285367166637
"186","79","-428","-633","30",186000.000000000000000,77.794285367166637
"187","82","-433","-629","29",187000.000000000000000,77.794285367166637
"188","84","-436","-625","28",188000.000000000000000,77.794285367166637
"189","86","-446","-623","27",189000.000000000000000,77.794285367166637
"190","89","-481","-630","26",190000.000000000000000,77.794285367166637
"191","90","-510","-639","25",191000.000000000000000,77.794285367166637
"192","90","-548","-653","24",192000.000000000000000,77.794285367166637
"193","90","-589","-674","23",193000.000000000000000,77.794285367166637
"194","91","-640","-706","22",194000.000000000000000,77.794285367166637
"195","91","-701","-739","21",195000.000000000000000,77.794285367166637
"196","91","-754","-767","20",196000.000000000000000,77.794285367166637
"197","97","-798","-798","19",197000.000000000000000,77.794285367166637
"198","109","-820","-820","18",198000.000000000000000,77.794285367166637
"199","118","-835","-835","17",199000.000000000000000,77.794285367166637
"200","139","-860","-860","16",200000.000000000000000,77.794285367166637
"201","160","-870","-870","15",201000.000000000000000,77.794285367166637
"202","179","-877","-877","14",202000.000000000000000,77.794285367166637
"203","194","-876","-876","13",203000.000000000000000,77.794285367166637
"204","202","-831","-831","12",204000.000000000000000,77.794285367166637
"205","194","-844","-844","11",205000.000000000000000,77.794285367166637
"206","179","-861","-861","10",206000.000000000000000,77.794285367166637
"207","169","-874","-874","9",207000.000000000000000,77.794285367166637
"208","169","-876","-876","8",208000.000000000000000,77.794285367166637
"209","209","-795","-795","7",209000.000000000000000,77.794285367166637
"210","232","-774","-774","6",210000.000000000000000,77.794285367166637
"211","260","-751","-751","5",211000.000000000000000,77.794285367166637
"212","285","-735","-735","4",212000.000000000000000,77.794285367166637
"213","310","-728","-728","3",213000.000000000000000,77.794285367166637
"214","310","-728","-728","2",214000.000000000000000,77.794285367166637
"215","311","-750","-750","1",215000.000000000000000,77.794285367166637
"216","307","-785","-785","0",216000.000000000000000,77.794285367166637
