,Unnamed: 0,z_ice_sfc,z_ice_bott,z_ice_bed,x,csw,cdw,mw,y_near,y_mid,y_far
181,181,71.0,-387.0,-660,1750.0,,-425.0,-407.0,-0.1,0.0,0.1
182,182,72.0,-396.0,-664,1700.0,,-425.0,-416.0,-0.1,0.0,0.1
183,183,73.0,-402.0,-662,1650.0,,-425.0,-422.0,-0.1,0.0,0.1
184,184,74.0,-407.0,-657,1600.0,,-427.0,-427.0,-0.1,0.0,0.1
185,185,77.0,-421.0,-638,1550.0,,,-441.0,-0.1,0.0,0.1
186,186,79.0,-428.0,-633,1500.0,,,-448.0,-0.1,0.0,0.1
187,187,82.0,-433.0,-629,1450.0,,,-453.0,-0.1,0.0,0.1
188,188,84.0,-436.0,-625,1400.0,,,-456.0,-0.1,0.0,0.1
189,189,86.0,-446.0,-623,1350.0,,,-466.0,-0.1,0.0,0.1
190,190,89.0,-481.0,-630,1300.0,,,-501.0,-0.1,0.0,0.1
191,191,90.0,-510.0,-639,1250.0,,,-530.0,-0.1,0.0,0.1
192,192,90.0,-548.0,-653,1200.0,,,-568.0,-0.1,0.0,0.1
193,193,90.0,-589.0,-674,1150.0,,,-609.0,-0.1,0.0,0.1
194,194,91.0,-640.0,-706,1100.0,,,-660.0,-0.1,0.0,0.1
195,195,91.0,-701.0,-739,1050.0,,,-721.0,-0.1,0.0,0.1
196,196,91.0,-754.0,-767,1000.0,,,-767.0,-0.1,0.0,0.1
197,197,97.0,-798.0,-798,950.0,,,,-0.1,0.0,0.1
198,198,109.0,-820.0,-820,900.0,,,,-0.1,0.0,0.1
199,199,118.0,-835.0,-835,850.0,,,,-0.1,0.0,0.1
200,200,139.0,-860.0,-860,800.0,,,,-0.1,0.0,0.1
201,201,160.0,-870.0,-870,750.0,,,,-0.1,0.0,0.1
202,202,179.0,-877.0,-877,700.0,,,,-0.1,0.0,0.1
203,203,194.0,-876.0,-876,650.0,,,,-0.1,0.0,0.1
204,204,202.0,-831.0,-831,600.0,,,,-0.1,0.0,0.1
205,205,194.0,-844.0,-844,550.0,,,,-0.1,0.0,0.1
206,206,179.0,-861.0,-861,500.0,,,,-0.1,0.0,0.1
207,207,169.0,-874.0,-874,450.0,,,,-0.1,0.0,0.1
208,208,169.0,-876.0,-876,400.0,,,,-0.1,0.0,0.1
209,209,209.0,-795.0,-795,350.0,,,,-0.1,0.0,0.1
210,210,232.0,-774.0,-774,300.0,,,,-0.1,0.0,0.1
211,211,260.0,-751.0,-751,250.0,,,,-0.1,0.0,0.1
212,212,285.0,-735.0,-735,200.0,,,,-0.1,0.0,0.1
213,213,310.0,-728.0,-728,150.0,,,,-0.1,0.0,0.1
214,214,310.0,-728.0,-728,100.0,,,,-0.1,0.0,0.1
215,215,311.0,-750.0,-750,50.0,,,,-0.1,0.0,0.1
216,216,307.0,-785.0,-785,0.0,,,,-0.1,0.0,0.1
